Record,loggingTime(txt),Latitude,Longitude,Altitude,Speed,GForceX,GForceY,GForceZ,Lap,GyroX,GyroY,GyroZ
126,2025-05-31T10:04:05.920,39.5356201,-122.3338540,99.7,0.09,0.000,-0.016,1.000,0,0.14,-0.06,0.03
127,2025-05-31T10:04:05.960,39.5356201,-122.3338540,99.7,0.08,0.000,-0.016,1.000,0,0.14,-0.07,0.03
128,2025-05-31T10:04:06.000,39.5356200,-122.3338540,99.7,0.13,0.000,-0.016,1.001,0,0.14,-0.08,0.02
129,2025-05-31T10:04:06.040,39.5356200,-122.3338540,99.7,0.10,0.000,-0.016,1.000,0,0.14,-0.09,0.01
130,2025-05-31T10:04:06.080,39.5356201,-122.3338540,99.7,0.07,0.000,-0.016,1.000,0,0.14,-0.10,0.01
131,2025-05-31T10:04:06.120,39.5356200,-122.3338540,99.7,0.05,0.000,-0.016,1.000,0,0.15,-0.11,0.01
132,2025-05-31T10:04:06.160,39.5356200,-122.3338540,99.7,0.13,0.000,-0.016,1.000,0,0.15,-0.12,0.01
133,2025-05-31T10:04:06.200,39.5356200,-122.3338540,99.7,0.03,0.000,-0.016,1.000,0,0.16,-0.13,0.02
134,2025-05-31T10:04:06.240,39.5356200,-122.3338540,99.7,0.05,0.000,-0.016,1.000,0,0.16,-0.12,0.02
135,2025-05-31T10:04:06.280,39.5356200,-122.3338539,99.7,0.01,0.000,-0.016,1.000,0,0.16,-0.10,0.02
136,2025-05-31T10:04:06.320,39.5356201,-122.3338539,99.7,0.08,0.000,-0.016,1.001,0,0.16,-0.08,0.03
137,2025-05-31T10:04:06.360,39.5356201,-122.3338539,99.7,0.14,0.000,-0.016,1.001,0,0.17,-0.07,0.03
138,2025-05-31T10:04:06.400,39.5356201,-122.3338540,99.7,0.46,0.000,-0.016,1.001,0,0.17,-0.06,0.03
139,2025-05-31T10:04:06.440,39.5356202,-122.3338540,99.7,0.47,0.000,-0.016,1.001,0,0.17,-0.07,0.03
140,2025-05-31T10:04:06.480,39.5356203,-122.3338542,99.7,0.41,0.000,-0.016,1.000,0,0.17,-0.08,0.03
141,2025-05-31T10:04:06.520,39.5356203,-122.3338542,99.7,0.25,0.000,-0.016,1.000,0,0.17,-0.10,0.02
142,2025-05-31T10:04:06.560,39.5356203,-122.3338542,99.7,0.10,0.000,-0.016,1.000,0,0.17,-0.12,0.02
143,2025-05-31T10:04:06.600,39.5356203,-122.3338542,99.6,0.09,0.000,-0.016,1.001,0,0.17,-0.13,0.02
144,2025-05-31T10:04:06.640,39.5356204,-122.3338542,99.6,0.05,0.000,-0.016,1.001,0,0.16,-0.12,0.02
145,2025-05-31T10:04:06.680,39.5356204,-122.3338542,99.6,0.04,0.000,-0.016,1.001,0,0.16,-0.11,0.03
