loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2023-06-16T18:49:37.236-07:00,1753,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.225876,35.31085205078125,-29.47808456420898,68.82369995117188,219.4014739990234,206.3174743652344,20.3582706451416,3034.0757545,0.0387420654296875,0.039764404296875,-1.0013427734375,3034.0745085,0.002375007141381502,-0.00580755528062582,0.002438656520098448,3034.0530805,-124.1937255859375,28.00279235839844,-264.8215942382812,3034.0695235,1.121256149076785,0.03791418180997567,-0.004282089455930615,0.003944885917007923,-0.008051293902099133,-0.00408118637278676,-0.001741360872983932,0.03330038487911224,0.02507477998733521,XArbitraryCorrectedZVertical,-0.01189217406310185,0.01491593907037264,0.5315871091760332,0.8467887421144691,0.03790475055575371,0.004282076377421618,-0.9992721676826477,35.31085205078125,-29.47808456420898,68.82369995117188,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.271-07:00,1754,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.26579,35.19847106933594,-29.41276168823242,68.85116577148438,219.3996734619141,206.315673828125,20.35610771179199,3034.1094025,0.0201263427734375,0.0386810302734375,-1.004302978515625,3034.1081555,-0.006524744443595409,0.001386441639624536,0.01012800168246031,3034.0835455,-124.1953582763672,27.7447509765625,-264.8585205078125,3034.0695235,1.121256149076785,0.03791418180997567,-0.004282089455930615,0.003944885917007923,-0.008051293902099133,-0.00408118637278676,-0.001741360872983932,0.03330038487911224,0.02507477998733521,XArbitraryCorrectedZVertical,-0.01189217406310185,0.01491593907037264,0.5315871091760332,0.8467887421144691,0.03790475055575371,0.004282076377421618,-0.9992721676826477,35.31085205078125,-29.47808456420898,68.82369995117188,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.301-07:00,1755,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.285781,35.26821136474609,-29.54121398925781,68.99508666992188,219.3926239013672,206.3086242675781,20.35522270202637,3034.1430505,0.0208740234375,0.0405731201171875,-1.002960205078125,3034.1418045,-0.008110923692584038,-0.006227269303053617,0.01187716610729694,3034.1140105,-124.2461090087891,27.7276611328125,-264.2720642089844,3034.1293425,1.121464197195156,0.03787842394896,-0.004543466231733611,-0.002679907018318772,-0.004094977863132954,0.006825676187872887,-0.0165829062461853,0.03567878156900406,0.01350885629653931,XArbitraryCorrectedZVertical,-0.01199487205101483,0.01483007026848364,0.5316731531511996,0.8467347944894514,0.03786897659301758,0.00454345066100359,-0.9992724061012268,35.26821136474609,-29.54121398925781,68.99508666992188,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.336-07:00,1756,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.325736,35.43090057373047,-29.678466796875,68.63595581054688,219.3815612792969,206.2975616455078,20.35330772399902,3034.1766985,0.03662109375,0.0436553955078125,-1.00225830078125,3034.1754525,-0.009318932890892029,-0.008160724304616451,0.005755091086030006,3034.1749405,-123.8127593994141,27.84237670898438,-264.9132690429688,3034.1293425,1.121464197195156,0.03787842394896,-0.004543466231733611,-0.002679907018318772,-0.004094977863132954,0.006825676187872887,-0.0165829062461853,0.03567878156900406,0.01350885629653931,XArbitraryCorrectedZVertical,-0.01199487205101483,0.01483007026848364,0.5316731531511996,0.8467347944894514,0.03786897659301758,0.00454345066100359,-0.9992724061012268,35.26821136474609,-29.54121398925781,68.99508666992188,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.371-07:00,1757,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.365516,35.17231750488281,-29.98604965209961,68.80697631835938,219.3871002197266,206.3031005859375,20.35126876831055,3034.2103465,0.039642333984375,0.045196533203125,-1.003326416015625,3034.2091005,-0.007795072626322508,-0.002624012529850006,-0.0007608651067130268,3034.2054045,-124.3343200683594,27.2420654296875,-264.6969299316406,3034.1891615,1.121597946741774,0.03739301973080258,-0.005191609158121895,-0.006110401824116707,-0.007662365678697824,-0.002644043881446123,0.00459318608045578,0.03544263541698456,0.00650489330291748,XArbitraryCorrectedZVertical,-0.01214118925671734,0.01445142859289681,0.5317271302883552,0.8467053231177031,0.0373838022351265,0.00519158598035574,-0.999287486076355,35.41744232177734,-29.63646507263184,68.5760498046875,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.405-07:00,1758,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.385464,35.58926391601562,-29.72589111328125,68.469970703125,219.3949279785156,206.3109283447266,20.35037612915039,3034.2439955,0.0343017578125,0.046905517578125,-1.005706787109375,3034.2427485,-0.007102650590240955,-0.006450974848121405,-0.00171241257339716,3034.2358695,-123.7706909179688,27.6068115234375,-265.1644592285156,3034.1891615,1.121597946741774,0.03739301973080258,-0.005191609158121895,-0.006110401824116707,-0.007662365678697824,-0.002644043881446123,0.00459318608045578,0.03544263541698456,0.00650489330291748,XArbitraryCorrectedZVertical,-0.01214118925671734,0.01445142859289681,0.5317271302883552,0.8467053231177031,0.0373838022351265,0.00519158598035574,-0.999287486076355,35.41744232177734,-29.63646507263184,68.5760498046875,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.435-07:00,1759,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.425295,35.85414123535156,-29.71520233154297,68.13186645507812,219.4093475341797,206.3253479003906,20.34870719909668,3034.2776425,0.0450286865234375,0.0436859130859375,-1.018844604492188,3034.2763965,-0.002408829284831882,-0.008154332637786865,0.001923334901221097,3034.2663355,-123.4752197265625,27.63203430175781,-265.7091674804688,3034.2489795,1.1212068880096,0.03688400133799582,-0.005954234770412208,-0.005355632863938808,-0.007888533174991608,-0.004857338964939117,0.004293285310268402,0.04186691343784332,-0.008662939071655273,XArbitraryCorrectedZVertical,-0.01232595372756562,0.01403555640221218,0.5315580953115236,0.8468158856093242,0.03687498345971107,0.005954199470579624,-0.9993021488189697,35.57191467285156,-29.7386360168457,68.37979125976562,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.470-07:00,1760,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.465283,35.51355743408203,-29.88473510742188,68.23876953125,219.4127502441406,206.3287506103516,20.34744453430176,3034.3112905,0.03851318359375,0.04205322265625,-1.02337646484375,3034.3100445,-0.001803759019821882,-0.003312439657747746,0.007435812149196863,3034.2967995,-123.8854217529297,27.55854797363281,-265.4097290039062,3034.2489795,1.1212068880096,0.03688400133799582,-0.005954234770412208,-0.005355632863938808,-0.007888533174991608,-0.004857338964939117,0.004293285310268402,0.04186691343784332,-0.008662939071655273,XArbitraryCorrectedZVertical,-0.01232595372756562,0.01403555640221218,0.5315580953115236,0.8468158856093242,0.03687498345971107,0.005954199470579624,-0.9993021488189697,35.57191467285156,-29.7386360168457,68.37979125976562,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.505-07:00,1761,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.485295,35.7738037109375,-29.74457168579102,67.91290283203125,219.4105377197266,206.3265380859375,20.34684753417969,3034.3449395,0.036895751953125,0.0401153564453125,-1.015838623046875,3034.3436935,-0.0005012069013901055,-0.00606375141069293,0.007094661239534616,3034.3272655,-123.6713562011719,27.47531127929688,-265.6408081054688,3034.3087985,1.12108747806992,0.03642752720796609,-0.006554200937399181,0.0006703680846840143,-0.006660453509539366,0.002685193438082933,-0.003520678728818893,0.03375963121652603,-0.002729535102844238,XArbitraryCorrectedZVertical,-0.01245783079200488,0.01368353786845681,0.5315052276125964,0.8468528021860138,0.03641868755221367,0.006554154213517904,-0.9993151426315308,35.51355743408203,-29.88473510742188,68.23876953125,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.540-07:00,1762,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.525277,35.60704803466797,-29.90089797973633,68.06710815429688,219.4055328369141,206.321533203125,20.34580230712891,3034.3785875,0.0399627685546875,0.04620361328125,-1.025604248046875,3034.3773405,-0.003236006945371628,-0.007315703667700291,0.005567338317632675,3034.3577305,-123.8113098144531,27.4393310546875,-265.63623046875,3034.3686175,1.121203732839126,0.0360375710819978,-0.00697652326438008,0.002094655763357878,-0.007778246887028217,0.0001283511519432068,-0.00299355760216713,0.03080436214804649,0.02663964033126831,XArbitraryCorrectedZVertical,-0.01253378615872178,0.01340543603245367,0.531553257508865,0.8468260422285697,0.0360288955271244,0.006976466625928879,-0.9993264079093933,35.85085296630859,-29.90336990356445,67.671142578125,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.571-07:00,1763,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.565066,35.52597808837891,-29.92917060852051,67.87515258789062,219.4092407226562,206.3252410888672,20.34474754333496,3034.4122345,0.0361785888671875,0.0442352294921875,-1.013656616210938,3034.4109885,-0.00353294936940074,0.00167885678820312,0.001694303122349083,3034.3881945,-124.272216796875,27.3961181640625,-265.17138671875,3034.3686175,1.121203732839126,0.0360375710819978,-0.00697652326438008,0.002094655763357878,-0.007778246887028217,0.0001283511519432068,-0.00299355760216713,0.03080436214804649,0.02663964033126831,XArbitraryCorrectedZVertical,-0.01253378615872178,0.01340543603245367,0.531553257508865,0.8468260422285697,0.0360288955271244,0.006976466625928879,-0.9993264079093933,35.85085296630859,-29.90336990356445,67.671142578125,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.605-07:00,1764,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.584908,35.60334014892578,-29.93781089782715,68.04147338867188,219.4142608642578,206.3302612304688,20.34426879882812,3034.4458835,0.0261077880859375,0.0460052490234375,-1.0167236328125,3034.4446375,-0.001949700177647173,0.002430400811135769,0.0009896307019516826,3034.4186605,-123.5175933837891,27.46151733398438,-265.9464721679688,3034.4284365,1.121037955709332,0.03581822419140729,-0.00765550406229191,-0.0008415838237851858,0.00317279901355505,-0.004292316269129515,-0.008007943630218506,0.03656460717320442,0.0339515209197998,XArbitraryCorrectedZVertical,-0.01276186697456945,0.01313312511662297,0.531478627094949,0.8468737348979879,0.03580951690673828,0.007655429188162088,-0.9993293285369873,35.47603607177734,-29.84273719787598,68.25631713867188,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
2023-06-16T18:49:37.649-07:00,1765,0,0,0,0,0,-1,0,-1,-1,-1,0,1686966577.64477,35.24637603759766,-29.9271068572998,69.00302124023438,219.4300994873047,206.3460998535156,20.34294509887695,3034.4795315,0.028289794921875,0.048828125,-1.022842407226562,3034.4782855,0.0002290318516315892,0.000568052229937166,0.001828526379540563,3034.4795865,-124.0615234375,27.41441345214844,-264.6597900390625,3034.4284365,1.121037955709332,0.03581822419140729,-0.00765550406229191,-0.0008415838237851858,0.00317279901355505,-0.004292316269129515,-0.008007943630218506,0.03656460717320442,0.0339515209197998,XArbitraryCorrectedZVertical,-0.01276186697456945,0.01313312511662297,0.531478627094949,0.8468737348979879,0.03580951690673828,0.007655429188162088,-0.9993293285369873,35.47603607177734,-29.84273719787598,68.25631713867188,-1,2,null,0,0,0,0,0,0,0,null,3031.202647,0,-1.093921,101.2241,1686966518.285211,10.0.0.170,10.104.71.52,my_iOS_device,0,5,1686966518.266153,1,0.38,0
